Date,WIG_BANKI_Open,WIG_BANKI_High,WIG_BANKI_Low,WIG_BANKI_Close,WIG_BANKI_Volume,WIG_PALIWA_Open,WIG_PALIWA_High,WIG_PALIWA_Low,WIG_PALIWA_Close,WIG_PALIWA_Volume
1/7/2007,7163.9,7297.61,7080.57,7080.57,7533272,3185.99,3273.33,3102.8,3102.8,19527225
1/14/2007,6962.67,7128.55,6894.11,7128.55,22493352,3071.27,3096.9,3027.27,3085.47,26924034
1/21/2007,7173.14,7740.64,7171.86,7740.64,27387350,3123.58,3168.01,3047.93,3091.59,34054877
1/28/2007,7801.85,7801.85,7460.25,7514.48,20999620,3179.31,3179.31,3072.63,3072.63,22139123
2/4/2007,7596.12,7960.57,7595.42,7960.57,21517252,3080.06,3168.41,3059.89,3147.76,43012932
2/11/2007,7990.61,8034.2,7706.18,7740.02,18827948,3129.07,3200.06,3088.02,3134.01,20373751
2/18/2007,7649.94,7715.54,7557.87,7557.87,16411727,3081.22,3148.54,3042.19,3086.2,14846042
2/25/2007,7661.13,7824.23,7622.51,7775.04,11476282,3115.29,3160.14,3027,3158.32,19989314
3/4/2007,7755.22,7755.22,7148.01,7227.67,21485166,3156.75,3156.75,2869.41,2915.59,35034972
3/11/2007,7007.62,7391.89,6981.49,7283.13,17273267,2821.01,3036.99,2821.01,2997.67,27649927
3/18/2007,7410.88,7410.88,7071.88,7344.42,13074142,3018.79,3018.79,2900.16,3005.91,35208646
3/25/2007,7427.82,7883.77,7427.82,7882.04,20132797,2999.13,3089.6,2982.86,3089.6,43125153
4/1/2007,7829.41,7947.35,7713.5,7899.72,15905254,3111.2,3225.63,3079.27,3199.38,35618994
4/8/2007,7823.08,7956.8,7792.91,7936.59,11143486,3159.3,3168.58,3116.34,3116.34,17119207
4/15/2007,7923.16,8005.96,7840.16,7840.16,14872131,3119.24,3305.82,3105.72,3291.37,27474473
4/22/2007,7898.05,7970.38,7786.9,7970.38,16958099,3361.56,3361.56,3213.17,3219.32,30402759
4/29/2007,7895.76,8125.22,7891.01,8125.22,14151998,3221.19,3226.85,3085.64,3098.02,17736684
5/6/2007,8091.28,8336.31,8091.16,8336.31,6148103,3104.19,3196.45,3103.14,3196.45,18662925
5/13/2007,8327.48,8369.48,7910.84,8090.42,12225915,3223.19,3290.85,3189.12,3290.85,21592033
5/20/2007,8152.35,8269.36,8076.5,8269.36,20796449,3345.39,3374.02,3257.06,3261.31,26431762
5/27/2007,8328.22,8668.17,8328.22,8369.7,26206462,3299.28,3387.88,3299.28,3364.83,17596992
6/3/2007,8404.47,9014.49,8404.47,9014.49,18878368,3386.7,3466.03,3307.77,3466.03,12626745
